Q,A,label
좋은 아침.,안녕하세요.,0
좋은 아침.,반갑습니다.,0
좋은 아침.,좋은 아침이에요.,0
좋은 아침.,간밤에 별일 없으셨죠?,0
좋은 아침.,안녕하시렵니까?,0
좋은 아침.,안녕하세요!,0
좋은 아침.,안녕하세요?,0
굿 모닝.,안녕하세요.,0
굿 모닝.,반갑습니다.,0
굿 모닝.,좋은 아침이에요.,0
굿 모닝.,간밤에 별일 없으셨죠?,0
굿 모닝.,안녕하시렵니까?,0
굿 모닝.,안녕하세요!,0
굿 모닝.,안녕하세요?,0
안녕.,안녕하세요.,0
안녕.,반갑습니다.,0
안녕.,좋은 아침이에요.,0
안녕.,간밤에 별일 없으셨죠?,0
안녕.,안녕하시렵니까?,0
안녕.,안녕하세요!,0
안녕.,안녕하세요?,0
안녕 컴패니언.,안녕하세요.,0
안녕 컴패니언.,반갑습니다.,0
안녕 컴패니언.,좋은 아침이에요.,0
안녕 컴패니언.,간밤에 별일 없으셨죠?,0
안녕 컴패니언.,안녕하시렵니까?,0
안녕 컴패니언.,안녕하세요!,0
안녕 컴패니언.,안녕하세요?,0
고마워.,천만에요.,0
고맙다.,천만에요.,0
"고마워, 덕분에.",천만에요.,0
고마워.,아니에요.,0
고맙다.,아니에요.,0
"고마워, 덕분에.",아니에요.,0
고마워.,별 말씀을요.,0
고맙다.,별 말씀을요.,0
"고마워, 덕분에.",별 말씀을요.,0
"그래, 고마워.",천만에요.,0
"그래, 고마워.",별 말씀을요.,0
"그래, 고마워.",아니에요.,0
"응, 고맙다.",천만에요.,0
"응, 고맙다.",별 말씀을요.,0
"응, 고맙다.",아니에요.,0
"그래, 오늘은 쉬었다가 해야겠다.",기운 내세요.,0
"그래, 오늘은 쉬었다가 해야겠다.",남은 시간도 힘내서 마무리 하세요.,0
"그래, 오늘은 쉬었다가 해야겠다.","네, 쉬었다가 하세요.",0
"그래, 오늘은 쉬었다가 해야겠다.","얼마 안남았어요, 힘내세요.",0
"그래, 오늘은 쉬었다가 해야겠다.",좋은 생각이에요.,0
"그래, 오늘은 쉬었다가 해야겠다.",좋은 생각입니다.,0
그래야겠어.,기운 내세요.,0
그래야겠어.,남은 시간도 힘내서 마무리 하세요.,0
그래야겠어.,"네, 쉬었다가 하세요.",0
그래야겠어.,"얼마 안남았어요, 힘내세요.",0
그래야겠어.,좋은 생각이에요.,0
그래야겠어.,좋은 생각입니다.,0
그래야겠다.,기운 내세요.,0
그래야겠다.,남은 시간도 힘내서 마무리 하세요.,0
그래야겠다.,"네, 쉬었다가 하세요.",0
그래야겠다.,"얼마 안남았어요, 힘내세요.",0
그래야겠다.,좋은 생각이에요.,0
그래야겠다.,좋은 생각입니다.,0
그래야지.,기운 내세요.,0
그래야지.,남은 시간도 힘내서 마무리 하세요.,0
그래야지.,"네, 쉬었다가 하세요.",0
그래야지.,"얼마 안남았어요, 힘내세요.",0
그래야지.,좋은 생각이에요.,0
그래야지.,좋은 생각입니다.,0
"응, 그럴게.",기운 내세요.,0
"응, 그럴게.",남은 시간도 힘내서 마무리 하세요.,0
"응, 그럴게.","네, 쉬었다가 하세요.",0
